geneSymbol	geneLength
AC003044.1	1462
AC003070.1	457
AC003070.2	386
AC003077.1	4132
AC003084.1	435
AC003086.1	949
AC003087.1	499
AC003092.1	1064
AC003092.2	446
AC003093.1	1324
AC003098.1	494
AC003101.1	459
AC003101.2	442
AC003102.1	2012
AC003659.1	465
AC003666.1	611
AC003681.1	49287
AC003682.1	462
AC003684.1	1715
AC003685.1	466
AC003687.1	427
AC003688.2	415
AC003950.1	730
AC003956.1	356
AC003958.2	4067
AC003965.1	850
AC003965.2	265
AC003973.1	5976
AC003975.1	837
AC003982.1	410
AC003984.1	4276
AC003985.1	640
AC003986.1	1526
AC003986.2	1711
AC003986.3	692
AC003988.1	578
AC003991.1	4838
AC003991.2	576
AC003992.1	557
AC004000.1	433
AC004009.1	1323
AC004012.1	534
AC004014.1	538
AC004023.1	1744
AC004034.1	510
AC004039.1	1789
AC004047.1	625
AC004052.1	1632
AC004053.1	575
AC004054.1	270
AC004063.1	547
AC004066.2	572
AC004067.1	700
AC004069.1	549
AC004076.2	3323
AC004080.1	757
AC004080.17	729
AC004080.2	556
AC004080.4	633
AC004083.1	4788
AC004112.1	707
AC004129.3	1792
AC004130.2	896
AC004147.1	299
AC004147.2	4110
AC004147.3	375
AC004147.5	536
AC004148.1	1938
AC004156.1	3319
AC004158.1	5253
AC004160.1	5660
AC004160.2	563
AC004217.1	751
AC004221.1	844
AC004223.2	544
AC004223.4	332
AC004231.1	815
AC004231.3	258
AC004232.1	821
AC004233.1	608
AC004233.2	1269
AC004233.3	417
AC004241.1	5445
AC004241.2	444
AC004241.3	517
AC004241.4	1120
AC004253.1	488
AC004253.2	397
AC004257.1	277
AC004263.1	678
AC004263.2	2350
AC004264.1	794
AC004381.1	351
AC004408.1	573
AC004415.1	449
AC004448.1	543
AC004448.2	4834
AC004448.3	567
AC004448.5	501
AC004449.1	433
AC004461.2	803
AC004464.1	827
AC004466.1	1080
AC004466.2	516
AC004466.3	546
AC004470.1	382
AC004471.1	582
AC004471.2	1514
AC004477.1	2933
AC004477.2	192
AC004477.3	590
AC004485.1	527
AC004490.1	2738
AC004492.1	742
AC004494.1	2955
AC004522.3	680
AC004522.4	872
AC004522.5	656
AC004528.1	641
AC004528.2	440
AC004540.1	7236
AC004540.2	2819
AC004542.1	264
AC004542.2	546
AC004543.1	369
AC004549.1	342
AC004551.1	575
AC004554.2	1893
AC004556.3	740
AC004584.1	549
AC004584.3	2356
AC004585.1	1332
AC004590.1	510
AC004593.1	798
AC004593.2	2528
AC004593.3	5049
AC004594.1	3458
AC004596.1	528
AC004597.1	561
AC004637.1	482
AC004672.1	2088
AC004672.2	574
AC004674.1	2249
AC004687.1	1625
AC004687.3	5569
AC004690.2	2064
AC004691.1	547
AC004692.2	1205
AC004702.1	195
AC004704.1	583
AC004706.1	879
AC004706.3	4843
AC004707.1	715
AC004765.1	1161
AC004771.1	583
AC004771.2	439
AC004771.3	551
AC004771.4	474
AC004771.5	542
AC004775.1	753
AC004784.1	2168
AC004797.1	5592
AC004801.3	962
AC004801.4	3112
AC004801.5	1044
AC004801.6	978
AC004803.1	3669
AC004812.2	2094
AC004816.1	1718
AC004816.2	284
AC004817.1	721
AC004817.2	651
AC004817.3	2129
AC004817.4	3625
AC004817.5	5304
AC004825.2	455
AC004825.3	4683
AC004828.1	654
AC004828.2	2308
AC004830.2	911
AC004832.1	2422
AC004832.4	331
AC004832.5	401
AC004832.6	704
AC004834.1	4610
AC004835.1	2907
AC004837.2	731
AC004837.3	565
AC004837.4	1131
AC004839.2	501
AC004846.1	3050
AC004846.2	777
AC004847.1	1911
AC004852.2	3362
AC004854.2	1441
AC004862.1	3819
AC004863.1	640
AC004865.2	1030
AC004869.1	540
AC004869.2	229
AC004870.2	1595
AC004870.3	530
AC004870.4	661
AC004875.1	655
AC004877.1	4093
AC004879.1	775
AC004882.1	773
AC004882.2	244
AC004882.3	777
AC004884.2	546
AC004888.1	547
AC004889.1	9504
AC004893.3	3000
AC004895.1	1219
AC004900.1	832
AC004906.1	969
AC004908.1	541
AC004908.2	574
AC004908.3	625
AC004917.1	2082
AC004918.1	770
AC004918.4	925
AC004920.1	482
AC004921.1	734
AC004921.2	2916
AC004923.4	739
AC004930.1	254
AC004936.1	873
AC004938.2	1158
AC004941.1	3120
AC004943.1	1697
AC004943.2	7025
AC004943.3	600
AC004944.1	3059
AC004946.1	704
AC004946.2	889
AC004947.1	3407
AC004947.3	613
AC004948.1	672
AC004949.1	3118
AC004951.1	1866
AC004969.1	578
AC004973.1	635
AC004974.1	3093
AC004975.2	565
AC004982.1	1655
AC004982.2	1730
AC004988.1	1771
AC004990.1	2298
AC004994.1	313
AC005005.3	1410
AC005005.4	16698
AC005006.1	249
AC005008.2	942
AC005009.1	269
AC005009.2	3775
AC005013.1	588
AC005014.2	599
AC005014.3	190
AC005014.4	627
AC005019.2	842
AC005021.1	355
AC005034.2	414
AC005034.3	1747
AC005034.4	899
AC005034.5	466
AC005034.6	3734
AC005037.1	973
AC005040.2	7004
AC005041.3	649
AC005041.4	1360
AC005041.5	978
AC005042.2	510
AC005046.1	625
AC005050.1	1770
AC005050.2	1091
AC005050.3	538
AC005052.2	2006
AC005062.1	3109
AC005064.1	2725
AC005070.3	2646
AC005071.1	713
AC005072.1	1779
AC005076.1	908
AC005081.1	1029
AC005082.1	2259
AC005082.2	948
AC005083.1	901
AC005086.2	801
AC005089.1	2241
AC005090.1	1079
AC005091.1	1190
AC005096.1	622
AC005100.1	2429
AC005100.2	1379
AC005104.1	442
AC005104.3	552
AC005144.1	703
AC005153.1	1259
AC005154.3	427
AC005154.4	368
AC005160.1	381
AC005162.1	389
AC005162.2	578
AC005162.3	4928
AC005165.1	7296
AC005165.3	1360
AC005180.1	587
AC005180.2	562
AC005197.1	683
AC005208.1	1100
AC005209.1	1033
AC005220.1	884
AC005224.1	1885
AC005224.2	2140
AC005224.3	1652
AC005225.1	937
AC005225.2	3777
AC005225.3	519
AC005229.4	2198
AC005229.5	1644
AC005232.1	1142
AC005234.1	434
AC005234.2	1334
AC005237.1	559
AC005244.2	718
AC005252.4	535
AC005253.1	2001
AC005253.2	432
AC005256.1	458
AC005258.2	1225
AC005261.1	4258
AC005261.2	1045
AC005261.3	1385
AC005262.2	452
AC005264.1	2319
AC005277.1	335
AC005277.2	390
AC005280.1	2149
AC005280.2	1412
AC005281.1	911
AC005288.1	1053
AC005291.1	641
AC005291.2	523
AC005293.1	1546
AC005301.2	1005
AC005303.1	1138
AC005304.1	405
AC005304.2	1982
AC005304.3	511
AC005306.1	935
AC005307.1	1570
AC005323.1	1474
AC005323.2	769
AC005324.1	1582
AC005324.2	415
AC005324.5	571
AC005329.1	3571
AC005329.2	446
AC005329.3	2711
AC005330.1	1238
AC005332.1	1310
AC005332.2	2919
AC005332.3	446
AC005332.4	2005
AC005332.5	2735
AC005332.6	2921
AC005332.7	619
AC005339.1	392
AC005342.1	629
AC005342.2	315
AC005343.1	3470
AC005343.4	687
AC005344.1	459
AC005355.1	714
AC005358.1	1143
AC005358.2	3679
AC005363.2	242
AC005379.1	328
AC005381.1	1270
AC005383.1	534
AC005387.1	352
AC005387.2	440
AC005391.1	341
AC005392.1	500
AC005392.2	301
AC005392.3	459
AC005393.1	584
AC005394.1	1269
AC005400.1	860
AC005410.2	463
AC005414.1	3191
AC005476.2	1158
AC005479.1	589
AC005479.2	431
AC005480.1	3953
AC005481.1	3456
AC005482.1	575
AC005486.1	216
AC005487.1	2889
AC005495.2	511
AC005498.1	465
AC005498.2	1105
AC005498.3	2159
AC005518.1	1116
AC005519.1	1367
AC005520.2	2178
AC005520.3	370
AC005520.5	2137
AC005522.1	453
AC005523.1	418
AC005523.2	3572
AC005529.1	289
AC005532.1	3252
AC005534.1	4232
AC005537.1	5143
AC005538.1	594
AC005538.3	1653
AC005540.1	919
AC005544.1	460
AC005544.2	229
AC005546.1	391
AC005548.1	1906
AC005549.1	1629
AC005550.1	312
AC005550.2	3743
AC005551.1	493
AC005552.1	662
AC005562.1	8702
AC005580.1	1155
AC005586.1	577
AC005586.2	1693
AC005592.1	1640
AC005592.2	875
AC005594.1	1875
AC005597.1	420
AC005599.1	585
AC005606.1	504
AC005606.2	2291
AC005609.1	617
AC005609.2	592
AC005609.3	577
AC005609.4	447
AC005609.5	5043
AC005614.1	3653
AC005616.1	579
AC005618.1	3148
AC005618.2	458
AC005618.3	554
AC005618.4	1508
AC005625.1	472
AC005632.3	828
AC005632.5	431
AC005632.6	1715
AC005670.1	395
AC005670.3	16607
AC005674.1	459
AC005674.2	3510
AC005682.2	2415
AC005692.1	1439
AC005692.2	596
AC005692.3	3445
AC005695.1	5672
AC005695.2	259
AC005695.3	232
AC005696.1	443
AC005696.2	626
AC005696.3	303
AC005696.4	3147
AC005697.2	2266
AC005697.3	581
AC005699.1	4459
AC005702.5	401
AC005703.1	1773
AC005703.2	343
AC005703.3	373
AC005703.4	538
AC005703.7	1615
AC005722.3	3370
AC005722.4	446
AC005725.1	2607
AC005726.1	3218
AC005726.2	1515
AC005726.3	458
AC005726.4	298
AC005726.5	1083
AC005730.2	1184
AC005730.3	366
AC005736.1	2721
AC005736.2	244
AC005740.3	344
AC005740.4	957
AC005740.5	4134
AC005746.1	1329
AC005746.2	470
AC005746.3	393
AC005753.1	618
AC005753.2	871
AC005753.3	2089
AC005757.1	472
AC005759.1	1212
AC005772.1	976
AC005772.2	4429
AC005774.2	567
AC005775.1	850
AC005776.2	1769
AC005785.1	1911
AC005786.2	369
AC005786.3	565
AC005789.1	297
AC005790.1	450
AC005803.1	1434
AC005808.1	381
AC005821.1	4862
AC005821.2	1390
AC005823.1	585
AC005823.2	650
AC005828.1	742
AC005828.2	562
AC005828.3	591
AC005828.4	552
AC005828.5	355
AC005832.1	572
AC005833.2	4154
AC005837.1	1717
AC005837.4	286
AC005838.2	317
AC005840.2	1841
AC005840.4	599
AC005841.1	287
AC005842.1	1868
AC005845.1	653
AC005856.1	4221
AC005863.1	3442
AC005865.2	1256
AC005871.1	475
AC005871.2	526
AC005884.1	429
AC005884.2	247
AC005888.1	1923
AC005899.1	563
AC005899.3	271
AC005899.5	552
AC005899.6	297
AC005899.7	588
AC005899.8	3449
AC005901.1	552
AC005906.2	9655
AC005906.3	2908
AC005908.2	530
AC005908.3	6521
AC005909.1	755
AC005909.2	3361
AC005911.1	456
AC005912.2	2400
AC005914.1	1525
AC005920.1	2054
AC005920.2	332
AC005920.3	1229
AC005920.4	492
AC005921.2	670
AC005921.4	1893
AC005944.1	564
AC005954.1	337
AC005954.2	556
AC005962.1	652
AC005962.2	1505
AC005972.3	2992
AC005993.1	2321
AC005996.1	564
AC005998.1	1764
AC005999.1	588
AC005999.2	1564
AC006001.2	2678
AC006003.1	613
AC006004.1	2145
AC006007.1	990
AC006008.1	1113
AC006013.1	758
AC006017.1	673
AC006019.1	4065
AC006019.2	3044
AC006019.3	698
AC006026.3	143
AC006027.1	741
AC006033.2	1968
AC006037.1	287
AC006040.1	1151
AC006041.1	328
AC006041.2	3388
AC006042.1	524
AC006042.2	568
AC006042.4	692
AC006043.1	1077
AC006055.1	411
AC006058.1	5067
AC006058.2	548
AC006058.3	1069
AC006059.1	3103
AC006059.4	1344
AC006059.5	4927
AC006062.1	4076
AC006063.1	560
AC006063.2	1696
AC006063.3	1419
AC006063.4	1869
AC006064.1	560
AC006064.2	2196
AC006064.3	477
AC006064.4	422
AC006064.5	248
AC006065.3	419
AC006065.4	1192
AC006076.1	1003
AC006111.1	329
AC006111.2	1068
AC006111.3	383
AC006112.1	2861
AC006115.2	19327
AC006116.10	581
AC006116.11	3334
AC006116.4	452
AC006116.5	559
AC006116.6	1103
AC006116.8	4770
AC006116.9	1040
AC006130.1	555
AC006130.3	1424
AC006141.1	2170
AC006144.2	570
AC006145.1	2651
AC006146.1	693
AC006148.1	20803
AC006148.2	1081
AC006150.1	263
AC006157.1	366
AC006159.1	386
AC006159.2	692
AC006160.1	2128
AC006197.2	2108
AC006205.1	389
AC006205.2	373
AC006206.1	3387
AC006206.2	1604
AC006207.1	713
AC006213.1	3371
AC006213.2	2193
AC006213.3	1831
AC006213.4	634
AC006213.5	288
AC006213.7	870
AC006230.1	8457
AC006237.1	480
AC006238.1	534
AC006238.2	1030
AC006249.1	471
AC006252.1	1101
AC006262.1	7133
AC006262.2	849
AC006262.3	258
AC006270.1	478
AC006272.1	552
AC006273.1	861
AC006288.1	1463
AC006296.1	591
AC006296.2	764
AC006296.3	1356
AC006299.1	5339
AC006305.1	3193
AC006305.2	552
AC006305.3	1568
AC006329.1	4677
AC006333.1	1727
AC006333.2	2099
AC006348.1	1875
AC006355.2	317
AC006357.1	531
AC006364.1	3376
AC006369.1	1743
AC006369.2	384
AC006372.1	1930
AC006372.2	1582
AC006372.3	4049
AC006378.1	636
AC006387.1	2190
AC006398.1	852
AC006427.2	1336
AC006435.1	1065
AC006435.2	1234
AC006435.3	203
AC006441.1	437
AC006441.3	456
AC006441.4	983
AC006445.3	786
AC006449.1	571
AC006449.2	486
AC006449.3	563
AC006449.5	2098
AC006449.6	2296
AC006450.1	460
AC006450.2	581
AC006450.3	2146
AC006452.1	4071
AC006455.1	517
AC006455.4	528
AC006455.5	2914
AC006458.1	653
AC006459.1	1813
AC006460.1	1125
AC006460.2	7811
AC006478.1	616
AC006478.2	4127
AC006480.2	1337
AC006482.1	273
AC006483.2	515
AC006487.1	1221
AC006487.2	893
AC006504.1	3666
AC006504.2	889
AC006504.5	14163
AC006504.7	635
AC006511.4	561
AC006511.6	1088
AC006517.2	1448
AC006525.1	2582
AC006538.1	1585
AC006538.3	578
AC006538.4	2520
AC006547.1	2267
AC006547.2	526
AC006547.3	583
AC006557.1	1085
AC006557.3	517
AC006566.1	513
AC006566.2	2218
AC006581.1	496
AC006581.2	455
AC006942.1	520
AC006946.2	2855
AC006946.3	756
AC006947.1	484
AC006960.2	531
AC006960.3	705
AC006967.2	432
AC006967.3	1093
AC006970.3	759
AC006972.1	1155
AC006974.1	1501
AC006974.2	1227
AC006994.2	4461
AC007001.1	670
AC007003.1	1235
AC007009.1	429
AC007014.1	610
AC007014.2	479
AC007029.1	313
AC007032.1	847
AC007036.1	674
AC007036.2	437
AC007036.3	614
AC007036.5	2227
AC007038.1	2416
AC007038.2	740
AC007040.1	477
AC007064.2	500
AC007066.2	2674
AC007066.3	325
AC007091.1	1539
AC007098.1	3314
AC007099.1	1185
AC007099.2	336
AC007100.1	1201
AC007100.2	388
AC007106.1	3877
AC007106.2	3584
AC007114.1	1540
AC007114.2	4281
AC007126.1	4781
AC007128.2	916
AC007130.1	489
AC007132.1	1252
AC007159.1	4706
AC007163.1	877
AC007179.1	1180
AC007179.2	5162
AC007182.1	2159
AC007192.2	463
AC007193.1	448
AC007193.2	472
AC007193.3	188
AC007216.1	601
AC007216.2	384
AC007216.3	1495
AC007216.4	562
AC007218.1	660
AC007218.2	179
AC007218.3	1797
AC007220.1	1055
AC007220.2	601
AC007221.1	1309
AC007222.2	1179
AC007223.1	572
AC007240.3	1871
AC007244.1	471
AC007250.1	338
AC007255.1	1441
AC007262.2	8600
AC007269.1	1456
AC007271.1	1568
AC007272.1	1269
AC007277.1	2189
AC007278.1	1327
AC007278.2	1200
AC007279.2	2337
AC007283.1	445
AC007285.1	2836
AC007285.2	518
AC007292.1	746
AC007292.2	1812
AC007292.3	357
AC007298.1	656
AC007298.2	862
AC007308.1	373
AC007314.1	565
AC007317.1	2467
AC007317.2	511
AC007319.1	1826
AC007325.1	2404
AC007325.2	2405
AC007325.4	1213
AC007326.2	7579
AC007326.5	1664
AC007327.2	457
AC007333.1	2164
AC007333.2	559
AC007336.1	3828
AC007336.2	557
AC007342.1	706
AC007342.4	1394
AC007342.5	2142
AC007343.1	1034
AC007344.1	2647
AC007347.1	281
AC007349.1	587
AC007349.2	553
AC007349.3	872
AC007349.4	532
AC007350.1	1940
AC007359.1	3181
AC007362.1	1623
AC007364.1	7149
AC007365.1	627
AC007368.1	6431
AC007370.1	316
AC007370.2	2694
AC007375.3	2314
AC007376.2	540
AC007378.1	478
AC007381.1	8996
AC007381.2	1956
AC007383.2	1034
AC007383.3	1411
AC007384.1	2557
AC007387.2	1441
AC007387.3	816
AC007389.1	12344
AC007389.3	1656
AC007389.5	744
AC007390.2	3803
AC007391.1	504
AC007391.2	841
AC007391.3	1093
AC007402.1	3939
AC007402.2	6246
AC007403.1	567
AC007405.1	6794
AC007405.2	2458
AC007405.3	2905
AC007405.4	550
AC007406.1	315
AC007406.2	503
AC007406.3	1184
AC007406.4	765
AC007406.5	3170
AC007422.1	167
AC007423.1	627
AC007431.1	1412
AC007431.2	563
AC007432.1	2188
AC007448.3	380
AC007448.4	689
AC007448.5	2511
AC007450.1	188
AC007463.1	882
AC007463.2	802
AC007483.1	713
AC007485.1	206
AC007491.1	2622
AC007493.1	5088
AC007493.2	478
AC007494.2	764
AC007495.1	834
AC007496.1	739
AC007496.2	547
AC007497.1	561
AC007497.2	1026
AC007513.1	379
AC007527.1	578
AC007527.2	546
AC007528.1	343
AC007529.1	2178
AC007529.2	1094
AC007533.1	870
AC007535.1	627
AC007540.1	507
AC007541.1	1469
AC007546.1	559
AC007552.2	603
AC007556.1	307
AC007557.1	541
AC007557.2	583
AC007557.3	3135
AC007557.4	430
AC007563.1	689
AC007563.2	904
AC007563.4	773
AC007566.1	5690
AC007569.1	2116
AC007570.1	603
AC007595.1	483
AC007598.1	448
AC007598.2	539
AC007599.2	493
AC007601.1	1974
AC007601.2	502
AC007603.1	2085
AC007608.1	2469
AC007608.2	1146
AC007608.3	6583
AC007610.1	498
AC007610.2	666
AC007610.5	1104
AC007611.1	3332
AC007613.1	2597
AC007614.1	27803
AC007619.1	412
AC007620.2	1941
AC007620.3	497
AC007622.2	1911
AC007631.1	189
AC007637.1	910
AC007638.1	1763
AC007638.2	1740
AC007639.1	833
AC007649.1	2214
AC007652.1	562
AC007652.2	1084
AC007652.3	719
AC007655.1	357
AC007655.2	1923
AC007656.1	1224
AC007656.2	573
AC007656.4	556
AC007663.2	2228
AC007663.3	465
AC007663.4	631
AC007666.1	1960
AC007666.2	1500
AC007671.1	830
AC007673.1	1100
AC007679.1	781
AC007681.1	3438
AC007682.1	1852
AC007684.2	477
AC007686.2	480
AC007686.3	3487
AC007686.4	2847
AC007686.5	832
AC007687.1	304
AC007688.3	369
AC007695.1	3876
AC007728.1	814
AC007728.2	3409
AC007728.3	746
AC007731.2	446
AC007731.3	652
AC007731.5	1102
AC007736.1	1548
AC007743.1	4369
AC007749.1	585
AC007749.2	2879
AC007750.1	4157
AC007773.1	972
AC007780.1	1863
AC007785.1	332
AC007785.3	3297
AC007786.1	1606
AC007786.2	803
AC007786.3	596
AC007786.4	5303
AC007787.1	1583
AC007795.1	1272
AC007823.1	1566
AC007834.1	728
AC007846.1	1821
AC007848.1	1405
AC007848.2	1727
AC007849.1	513
AC007861.1	1963
AC007861.2	571
AC007876.1	983
AC007877.1	798
AC007878.1	1615
AC007879.1	554
AC007879.2	551
AC007879.3	1095
AC007879.4	361
AC007879.5	1555
AC007880.1	1746
AC007881.2	570
AC007881.3	607
AC007881.4	1143
AC007906.1	510
AC007906.2	1983
AC007907.1	451
AC007920.1	2674
AC007920.2	1973
AC007922.1	459
AC007922.2	281
AC007922.3	4345
AC007922.4	3057
AC007923.1	505
AC007923.4	568
AC007938.1	2902
AC007938.2	2634
AC007938.3	623
AC007948.1	242
AC007950.1	620
AC007950.2	2347
AC007952.1	1452
AC007952.2	3097
AC007952.3	699
AC007952.4	637
AC007952.5	1486
AC007952.6	2673
AC007952.7	757
AC007952.8	440
AC007952.9	191
AC007953.1	3302
AC007953.2	2338
AC007991.2	102
AC007991.3	502
AC007991.4	605
AC007993.2	521
AC007993.3	832
AC007996.1	2821
AC007998.3	916
AC007998.4	2533
AC008011.2	792
AC008014.1	4868
AC008026.3	1707
AC008033.3	1407
AC008035.1	448
AC008040.1	7977
AC008050.1	632
AC008055.2	2323
AC008056.1	394
AC008056.2	551
AC008056.3	2199
AC008060.1	1551
AC008060.2	468
AC008060.3	534
AC008060.4	1861
AC008060.5	2249
AC008063.1	1456
AC008063.2	1155
AC008067.1	3357
AC008073.1	543
AC008073.2	1190
AC008074.2	1907
AC008079.1	20396
AC008080.1	1058
AC008080.2	577
AC008080.3	380
AC008080.4	2830
AC008083.2	663
AC008083.3	510
AC008083.4	444
AC008088.1	280
AC008103.1	1181
AC008105.1	2293
AC008105.3	3894
AC008114.1	1067
AC008115.1	150
AC008115.2	241
AC008115.3	549
AC008115.4	775
AC008119.1	2388
AC008121.2	523
AC008121.3	433
AC008124.1	9730
AC008125.1	1538
AC008127.1	499
AC008133.1	557
AC008147.1	325
AC008147.2	4713
AC008149.1	525
AC008149.2	4706
AC008154.1	327
AC008154.2	414
AC008162.2	291
AC008164.1	2722
AC008170.1	3389
AC008175.1	3181
AC008180.2	2196
AC008243.1	826
AC008250.1	522
AC008250.2	205
AC008264.2	3731
AC008267.5	1262
AC008268.1	2058
AC008269.1	5548
AC008269.2	1105
AC008273.1	524
AC008277.1	1512
AC008278.1	568
AC008278.2	409
AC008280.3	732
AC008281.1	677
AC008378.1	496
AC008391.1	919
AC008393.1	1454
AC008395.1	607
AC008397.1	1131
AC008403.2	1861
AC008403.3	2608
AC008406.1	541
AC008406.2	532
AC008406.3	1374
AC008413.2	342
AC008415.1	734
AC008429.1	2780
AC008429.3	489
AC008434.1	549
AC008438.1	985
AC008438.2	570
AC008440.1	439
AC008440.2	423
AC008443.1	3328
AC008443.2	566
AC008443.3	549
AC008443.4	456
AC008443.5	535
AC008443.6	1484
AC008443.8	708
AC008443.9	584
AC008453.1	425
AC008453.2	1852
AC008456.1	731
AC008459.1	4144
AC008462.1	681
AC008464.1	663
AC008467.1	5862
AC008474.1	573
AC008494.2	370
AC008494.3	944
AC008496.2	460
AC008496.3	4056
AC008505.1	6697
AC008507.2	1176
AC008507.4	2245
AC008507.5	925
AC008514.1	1191
AC008517.1	1462
AC008522.1	2906
AC008525.1	3106
AC008525.2	82
AC008532.1	628
AC008534.1	1940
AC008537.2	482
AC008537.4	1103
AC008539.1	482
AC008543.1	3495
AC008543.3	491
AC008543.4	442
AC008543.5	2515
AC008549.1	1579
AC008549.2	706
AC008551.1	405
AC008554.1	2169
AC008555.1	2757
AC008555.2	8481
AC008555.4	1247
AC008555.5	3863
AC008556.1	2040
AC008558.1	892
AC008567.2	656
AC008567.3	2713
AC008568.1	6863
AC008569.1	252
AC008569.2	889
AC008571.2	4207
AC008572.1	442
AC008574.1	433
AC008581.1	385
AC008588.1	462
AC008591.1	8389
AC008592.1	850
AC008592.2	571
AC008592.4	450
AC008592.5	547
AC008601.1	527
AC008608.2	416
AC008609.1	2890
AC008610.1	393
AC008619.1	567
AC008622.2	1229
AC008625.1	1730
AC008627.1	1704
AC008629.1	5185
AC008632.1	2350
AC008635.1	562
AC008641.1	248
AC008649.1	516
AC008649.2	242
AC008652.1	469
AC008655.1	457
AC008655.2	304
AC008659.1	1458
AC008662.1	674
AC008662.2	389
AC008663.1	455
AC008663.2	4449
AC008663.3	457
AC008667.1	568
AC008667.2	469
AC008667.3	553
AC008667.4	168
AC008669.1	2178
AC008674.1	2405
AC008676.1	2078
AC008679.1	3895
AC008680.1	283
AC008686.1	1081
AC008687.2	520
AC008687.3	598
AC008687.4	1756
AC008691.1	13436
AC008696.2	825
AC008700.1	2323
AC008703.1	1174
AC008705.2	489
AC008708.1	474
AC008708.2	1124
